PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;687.38;0;53248.91;906.16
2;1;0;528;4;0;528;154.93;0;5193.45;202.38
3;1;0;528;5;0;528;502.45;0;21317.65;478.05
4;1;0;528;6;0;528;1.1;0;2992.55;69.31
5;1;0;528;7;0;528;74.53;0;21966.16;424.34
6;1;0;528;8;0;528;10.320;0;375.49;95.22
7;1;0;528;9;0;528;21.09;0;1040.88;66.42
8;1;0;528;10;0;528;1080;0;13480.01;832.98
9;1;0;528;11;0;528;100.29;0;7140.73;102.49
10;1;0;528;12;0;528;108;0;2697.76;219.21
11;1;0;528;13;0;528;147.93;0;3337.54;126.06
12;1;0;528;14;0;528;260.2;0;2121.74;0.01
