PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;371.9;0;47129.72;400.98
2;1;0;528;4;0;528;5.76;0;690.01;118.77
3;1;0;528;5;0;528;5;0;310.9;127.57
4;1;0;528;6;0;528;0.96;0;352.66;116.48
5;1;0;528;7;0;528;7.37;0;2438;68.05
6;1;0;528;8;0;528;4.3;0;4258.32;184.53
7;1;0;528;9;0;528;717.65;0;20093.35;665.55
8;1;0;528;10;0;528;59.67;0;1004.07;17.8
9;1;0;528;11;0;528;387.8;0;16929.99;59.94
10;1;0;528;12;0;528;46.54;0;3320.4;23.4
11;1;0;528;13;0;528;2.13;0;1052.48;32.16
12;1;0;528;14;0;528;55.5;0;1696.25;51.55
13;1;0;528;15;0;528;15.44;0;2360.48;32.83
14;1;0;528;16;0;528;272.16;0;2672.57;73.78
15;1;0;528;17;0;528;15.52;0;2169.13;161.17
