PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;78;0;7848.01;272.53
2;1;0;528;4;0;528;10.66;0;262.36;137.7
3;1;0;528;5;0;528;4.52;0;270.2;115.91
4;1;0;528;6;0;528;33.35;0;5845.25;135.39
5;1;0;528;7;0;528;99.31;0;3267.71;139.31
6;1;0;528;8;0;528;1;0;1705.2;100.66
7;1;0;528;9;0;528;6.02;0;963.44;14.01
8;1;0;528;10;0;528;202.13;0;12652.93;273.86
9;1;0;528;11;0;528;20;0;2365.93;102.13
10;1;0;528;12;0;528;8.32;0;3136.84;68.91
11;1;0;528;13;0;528;211.4;0;1071.84;208.59
12;1;0;528;14;0;528;3.2;0;1251.85;36.77
