PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;25.59;0;1114.73;60.66
2;1;0;528;4;0;528;18.41;0;2480.79;18.74
3;1;0;528;5;0;528;28.72;0;1130.46;162.67
4;1;0;528;6;0;528;16.8;0;3596.91;70.67
5;1;0;528;7;0;528;85.4;0;3168;126.06
6;1;0;528;8;0;528;2331.63;0;49720.83;1751.68
7;1;0;528;9;0;528;71.61;0;6116.8;217.54
8;1;0;528;10;0;528;50.75;0;1469.52;17.93
9;1;0;528;11;0;528;246.6;0;12046.04;40.85
10;1;0;528;12;0;528;140.83;0;4681.13;17.55
11;1;0;528;13;0;528;73.89;0;2663.41;11.06
12;1;0;528;14;0;528;80;0;2429.2;11.27
13;1;0;528;15;0;528;844.83;0;29610.09;86.92
14;1;0;528;16;0;528;5.33;0;486.94;15.98
15;1;0;528;17;0;528;9.73;0;1935.47;8.29
16;1;0;528;18;0;528;75;0;2105.19;10.68
17;1;0;528;19;0;528;348.11;0;37561.89;1349.59
18;1;0;528;20;0;528;0.33;0;811.97;160.09
19;1;0;528;21;0;528;2.81;0;3619.14;64.22
20;1;0;528;22;0;528;82.15;0;6310.24;168.24
