PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;19.99;0;1719.68;174.72
2;1;0;528;3;0;528;47.11;0;2549.23;172.35
3;1;0;528;4;0;528;46;0;4556.25;88.01
4;1;0;528;5;0;528;125;0;9945;294.4
5;1;0;528;6;0;528;60.55;0;3217.36;120.42
6;1;0;528;7;0;528;65.39;0;3011.08;121.16
7;1;0;528;8;0;528;416.74;0;13391.58;61.62
8;1;0;528;9;0;528;683.44;0;42844.46;111.63
9;1;0;528;10;0;528;234.85;0;9398.26;283.59
10;1;0;528;11;0;528;4.25;0;326.05;82.41
11;1;0;528;12;0;528;62;0;2907.87;60
12;1;0;528;13;0;528;3.85;0;1299.47;66.06
