PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;17.48;0;1813.66;191.24
2;1;0;528;4;0;528;23.02;0;571.44;15.08
3;1;0;528;5;0;528;1.5;0;1669.41;111.82
4;1;0;528;6;0;528;85.880;0;2712.25;122.91
5;1;0;528;7;0;528;7;0;2241.97;54.82
6;1;0;528;8;0;528;41.62;0;2719.92;67.91
7;1;0;528;9;0;528;9.11;0;458.2;12.55
8;1;0;528;10;0;528;175.6;0;3415;14.45
9;1;0;528;11;0;528;120;0;3780;16.35
10;1;0;528;12;0;528;44.5;0;1058.08;7.63
11;1;0;528;13;0;528;127.9;0;5423.44;22.15
12;1;0;528;13;0;528;4;0;684.05;7.01
13;1;0;528;14;0;528;18.62;0;1247.33;174.44
