PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;7.85;0;883.5;66.06
2;1;0;528;4;0;528;7.31;0;617.55;13.94
3;1;0;528;4;0;528;117.64;0;3863.43;22.02
4;1;0;528;5;0;528;7.33;0;8298.23;154.07
5;1;0;528;6;0;528;22.5;0;2244.38;67.6
6;1;0;528;7;0;528;26.33;0;1049.19;162.13
7;1;0;528;8;0;528;200;0;240;107.4
8;1;0;528;9;0;528;29.67;0;2197.92;18.32
9;1;0;528;10;0;528;17.66;0;406.73;13.51
10;1;0;528;11;0;528;44.58;0;3534.29;19.23
11;1;0;528;12;0;528;200;0;280;157.4
12;1;0;528;13;0;528;14.01;0;4204.33;179.24
13;1;0;528;14;0;528;26.12;0;3076.15;177.18
