PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;2.66;0;2186.22;67.18
2;1;0;528;4;0;528;57.73;0;2449.82;179.45
3;1;0;528;5;0;528;121.23;0;6756.45;182.27
4;1;0;528;6;0;528;391.94;0;20117.96;425.13
5;1;0;528;7;0;528;5.7;0;5063.11;97.82
6;1;0;528;8;0;528;3.86;0;760.7;27.46
7;1;0;528;9;0;528;29.36;0;3230.07;19.02
8;1;0;528;10;0;528;334.8;0;27039.97;61.51
9;1;0;528;11;0;528;9.55;0;1370.46;27.88
10;1;0;528;12;0;528;10;0;660.87;49
11;1;0;528;13;0;528;100.53;0;3820.41;162.76
12;1;0;528;14;0;528;42.24;0;2060.24;106.94
13;1;0;528;15;0;528;33.48;0;1712.93;82.67
14;1;0;528;16;0;528;4.47;0;1298.05;174.44
15;1;0;528;17;0;528;86.15;0;17469.42;94.97
