PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;5;0;528;9;0;3252;172.16
2;1;0;528;6;0;528;0.6;0;386.2;66.36
3;1;0;528;7;0;528;387.169;0;15035.64;384.14
4;1;0;528;8;0;528;175.192;0;7959.44;217.19
5;1;0;528;9;0;528;81.433;0;5450.68;147.39
6;1;0;528;10;0;528;6.4;0;832;81.4
7;1;0;528;11;0;528;20.052;0;2102.66;90.75
8;1;0;528;12;0;528;121.87;0;9216.74;298.26
9;1;0;528;13;0;528;40.01;0;3899.4;138.73
10;1;0;528;14;0;528;52;0;8248;262.31
11;3;0;528;15;0;528;22;0;1118.16;41.26
12;3;0;528;16;0;528;57;0;1743.32;47.37
13;1;0;528;17;0;528;11.13;0;849.62;27.62
14;1;0;528;18;0;528;54.62;0;2499.42;37.26
15;1;0;528;19;0;528;15;0;1557.1;28.58
16;1;0;528;20;0;528;22.29;0;1675.7;28.75
17;1;0;528;21;0;528;43.2;0;5945.4;233.79
18;4;0;528;2;0;528;38;0;1318.9;59.5
