PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;39.63;0;1868.85;66.6
2;1;0;528;4;0;528;1000.64;0;43840.12;1554.85
3;1;0;528;5;0;528;97.11;0;3394.75;139.2
4;1;0;528;6;0;528;75;0;2618.83;113.91
5;1;0;528;7;0;528;1141.8;0;43494.67;840.24
6;1;0;528;8;0;528;48.2;0;3727.14;132.14
7;1;0;528;9;0;528;144.3;0;1675.02;178.98
8;1;0;528;10;0;528;107.43;0;5134.23;102.02
9;1;0;528;11;0;528;101.2;0;2672;122.38
10;1;0;528;12;0;528;19.73;0;4284.38;71
11;1;0;528;13;0;528;491.21;0;29710.23;472.67
