PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;1605;0;18555.04;875.45
2;1;0;528;4;0;528;15.09;0;563.66;15.07
3;1;0;528;5;0;528;125.74;0;4963.61;197.97
4;1;0;528;6;0;528;334;0;9323.5;301.55
5;1;0;528;7;0;528;2.2;0;6571.98;126.95
6;1;0;528;8;0;528;186.74;0;4598.3;170.68
7;1;0;528;9;0;528;17.66;0;1230.45;78.88
8;1;0;528;10;0;528;24.6;0;3877.05;8.27
9;1;0;528;11;0;528;6;0;711.24;6.88
10;1;0;528;8;0;528;19.48;0;3810.94;16.99
11;1;0;528;12;0;528;7.99;0;2283.14;16.39
12;1;0;528;13;0;528;182;0;5630.67;20.98
13;1;0;528;14;0;528;633.3;0;19131.81;63.76
14;1;0;528;15;0;528;75.39;0;2249.73;10.82
15;1;0;528;16;0;528;336.18;0;12811.89;37.8
16;1;0;528;2;0;528;1317.12;0;17825.12;1180
17;1;0;528;17;0;528;156.21;0;1708.06;131.18
18;1;0;528;18;0;528;23.22;0;554.06;63.26
19;1;0;528;19;0;528;84;0;1470;88.2
20;1;0;528;20;0;528;80.88;0;479.7;68.2
21;1;0;528;21;0;528;15;0;547.96;51.74
