PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;66.49;0;2876.89;176.82
2;1;0;528;4;0;528;5.75;0;482.88;117.36
3;1;0;528;5;0;528;127.69;0;6409.72;207.83
4;1;0;528;6;0;528;4.4;0;376.16;128.01
5;1;0;528;7;0;528;28.3;0;3822.97;73.85
6;1;0;528;8;0;528;298;0;10275.25;299.39
7;1;0;528;9;0;528;9.4;0;2247.4;108.17
8;1;0;528;10;0;528;110;0;27724.04;637.85
9;1;0;528;11;0;528;15.23;0;1593.79;312.6
10;1;0;528;12;0;528;20.94;0;3645.35;178.22
11;1;0;528;13;0;528;15.9;0;1885.62;99.11
12;1;0;528;14;0;528;43.41;0;18668.71;205.53
13;1;0;528;15;0;528;2.37;0;1256.01;66.06
