PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;167.8;0;3607.22;197.39
2;1;0;528;4;0;528;13.43;0;1139.17;143.69
3;1;0;528;5;0;528;8.1;0;2087.81;67.25
4;1;0;528;6;0;528;2.5;0;3319.5;70.05
5;1;0;528;7;0;528;82.98;0;3052.3;124.1
6;1;0;528;8;0;528;68.13;0;24676.51;277.07
7;1;0;528;9;0;528;38.87;0;5670.92;17.73
8;1;0;528;10;0;528;546.99;0;30711.82;88.06
9;1;0;528;11;0;528;46.2;0;2265.78;18.37
10;1;0;528;12;0;528;2.1;0;543.2;72.32
11;1;0;528;13;0;528;76.24;0;7468.98;37.49
