PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;44.16;0;4247.51;90.3
2;1;0;528;4;0;528;37.17;0;2329.37;38.27
3;1;0;528;5;0;528;5.99;0;293.04;116.07
4;1;0;528;6;0;528;1755.98;0;72391.49;1557.49
5;1;0;528;7;0;528;516.05;0;20632.15;500.17
6;1;0;528;8;0;528;3;0;3086.6;69.51
7;1;0;528;9;0;528;2.2;0;3440.32;70.32
8;1;0;528;10;0;528;9.37;0;445.16;25.09
9;1;0;528;11;0;528;33.73;0;894.73;34.86
10;1;0;528;12;0;528;11.8;0;808.7;27.56
11;1;0;528;13;0;528;44.24;0;4082.11;39.21
12;1;0;528;14;0;528;47.22;0;2342.4;36.84
13;1;0;528;15;0;528;23.05;0;2618.6;121.5
14;1;0;528;16;0;528;180;0;37735.29;491.01
