PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;11.62;0;1435.2;85.6
2;1;0;528;4;0;528;438.25;0;13727.62;387.13
3;1;0;528;5;0;528;84.34;0;3697.22;129.49
4;1;0;528;6;0;528;194.23;0;4934.32;197.77
5;1;0;528;7;0;528;8;0;653.9;41.26
6;1;0;528;8;0;528;32;0;1033.03;41.26
7;1;0;528;9;0;528;235.33;0;23030.6;849.16
8;1;0;528;10;0;528;12.87;0;1031.4;8.12
9;1;0;528;11;0;528;4.49;0;3746.81;16.97
10;1;0;528;12;0;528;50.09;0;5508.67;295.9
11;1;0;528;13;0;528;51.16;0;10778.17;175.85
12;1;0;528;14;0;528;718.37;0;47428.92;821.03
