PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;94.4;0;5189.14;10.4
2;1;0;528;4;0;528;14.82;0;520.34;15.04
3;1;0;528;4;0;528;14.88;0;698.69;15.16
4;1;0;528;5;0;528;12.69;0;2122.41;114.73
5;1;0;528;6;0;528;0.5;0;171.48;570.27
6;1;0;528;7;0;528;88;0;4066.84;47.37
7;1;0;528;8;0;528;203;0;7551.6;126.88
8;1;0;528;9;0;528;474.62;0;8138.76;59.44
9;1;0;528;10;0;528;6.43;0;536.1;12.61
10;1;0;528;11;0;528;37.77;0;6173.16;17.98
11;1;0;528;12;0;528;12;0;1699.4;30
12;1;0;528;13;0;528;258;0;9309.65;27.71
13;1;0;528;14;0;528;175.6;0;3585.75;14.05
14;1;0;528;15;0;528;23.82;0;3283.84;59.24
15;1;0;528;16;0;528;70.05;0;813.29;9.37
