PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;657.57;0;10046.97;149.32
2;1;0;528;4;0;528;11.34;0;609.65;30.21
3;1;0;528;4;0;528;8.73;0;504.32;27.72
4;1;0;528;5;0;528;42.12;0;2130.2;175.97
5;1;0;528;6;0;528;20.63;0;821.98;141.52
6;1;0;528;7;0;528;669.91;0;30061.61;624.4
7;1;0;528;8;0;528;5;0;9060;175.02
8;1;0;528;9;0;528;1;0;676.77;168.64
9;1;0;528;10;0;528;67;0;12993.98;151.93
10;1;0;528;11;0;528;37.13;0;3188.48;134.31
11;1;0;528;12;0;528;11.77;0;829.34;27.59
12;1;0;528;13;0;528;9.57;0;564.66;25.25
13;1;0;528;14;0;528;41.26;0;1683.49;65.43
14;1;0;528;15;0;528;109.34;0;10239.57;51.4
15;1;0;528;16;0;528;1628.79;0;87377.34;1253.24
16;1;0;528;17;0;528;58.1;0;2415.62;84.45
17;1;0;528;18;0;528;7.4;0;952.1;25.78
18;1;0;528;19;0;528;5.51;0;309.73;48.04
19;1;0;528;20;0;528;11.91;0;719.35;27.44
