PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;12;0;780;103.81
2;1;0;528;4;0;528;61.32;0;2497.66;179.78
3;1;0;528;5;0;528;195;0;4196.78;131.41
4;1;0;528;6;0;528;0.1;0;423.75;168.64
5;1;0;528;7;0;528;83.05;0;4117.51;132.01
6;1;0;528;8;0;528;448.62;0;15239.88;93.5
7;1;0;528;9;0;528;48;0;3117.13;105.41
8;1;0;528;10;0;528;110.08;0;6615.7;261.85
9;1;0;528;11;0;528;1.55;0;848.96;174.44
10;1;0;528;12;0;528;34.8;0;1763.05;66.41
11;1;0;528;13;0;528;2;0;1720.95;83.8
12;1;0;528;14;0;528;123.29;0;5701.5;201.19
