PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;13.86;0;1129.49;28
2;1;0;528;4;0;528;25.81;0;1333.22;36.91
3;1;0;528;4;0;528;5.46;0;536.98;27.76
4;1;0;528;5;0;528;87.12;0;4109.17;183.91
5;1;0;528;6;0;528;67.77;0;2202.51;177.77
6;1;0;528;7;0;528;32.18;0;2276.33;103.38
7;1;0;528;8;0;528;195.75;0;6390.81;205.69
8;1;0;528;9;0;528;47;0;7190;151.27
9;1;0;528;10;0;528;21.26;0;1401.47;28.37
10;1;0;528;11;0;528;55.83;0;7281.14;54.55
11;1;0;528;12;0;528;64;0;2208.19;20.1
12;1;0;528;13;0;528;13.04;0;1877.64;16.54
13;1;0;528;14;0;528;48;0;2424.11;18.63
14;1;0;528;15;0;528;86.86;0;2797.13;19.44
15;1;0;528;16;0;528;26.31;0;692.29;63.07
16;1;0;528;17;0;528;31.31;0;1394.44;35.55
17;1;0;528;18;0;528;99.25;0;9410.88;193.06
18;1;0;528;19;0;528;3.68;0;465.23;31.96
19;1;0;528;20;0;528;513;0;11301.6;142.3
20;1;0;528;21;0;528;7.49;0;507.53;25.17
21;1;0;528;22;0;528;35.7;0;2417.25;36.94
