PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;1351.2;0;12116.4;1097.13
2;1;0;528;4;0;528;25.52;0;918.81;167.72
3;1;0;528;5;0;528;492.76;0;32064.4;547.35
4;1;0;528;6;0;528;66.83;0;2595.8;127.56
5;1;0;528;7;0;528;41.7;0;5107.91;200.95
6;1;0;528;8;0;528;89.73;0;5943.36;212.61
7;1;0;528;9;0;528;32.6;0;2913.12;16.15
8;1;0;528;10;0;528;14.34;0;2978.46;120.83
9;1;0;528;11;0;528;19.9;0;2634;161.97
10;1;0;528;12;0;528;19.62;0;2458.54;161.67
11;1;0;528;13;0;528;194.61;0;5977.13;123.24
12;1;0;528;14;0;528;101;0;1900;115.03
