PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;393.03;0;6642.7;524.88
2;1;0;528;4;0;528;0.95;0;126.44;15.92
3;1;0;528;5;0;528;47.28;0;2214.45;170.07
4;1;0;528;6;0;528;117.96;0;5898.42;204.34
5;1;0;528;7;0;528;349.9;0;4771.56;225.78
6;1;0;528;8;0;528;135.24;0;4649.73;165.33
7;1;0;528;9;0;528;67.48;0;10024.5;182.81
8;1;0;528;6;0;528;33.33;0;2003.22;18.19
9;1;0;528;10;0;528;220.16;0;5322.24;33.76
10;1;0;528;11;0;528;105.48;0;7408.24;20.13
11;1;0;528;12;0;528;279.93;0;8393.58;28.25
12;1;0;528;13;0;528;21.44;0;2520.26;14.95
13;1;0;528;14;0;528;61.2;0;2799.6;8.76
14;1;0;528;15;0;528;10.11;0;1403.05;7.02
15;1;0;528;16;0;528;77.94;0;6034.77;16.26
16;1;0;528;17;0;528;133.500;0;6133.24;336.25
17;1;0;528;18;0;528;100;0;4400.08;148.98
18;1;0;528;19;0;528;160.05;0;3999;64.02
19;1;0;528;20;0;528;8.25;0;1067.73;103.47
20;1;0;528;4;0;528;24.54;0;759.22;15.21
