PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;3;0;528;5;0;528;11;0;612.88;41.26
2;1;0;528;6;0;528;3.7;0;810.69;84.38
3;1;0;528;7;0;528;59;0;7058.48;148.78
4;1;0;528;8;0;528;52.24;0;1743.24;95.14
5;1;0;528;9;0;528;49.37;0;3119.18;18.95
6;1;0;528;10;0;528;49.42;0;4482.49;19.88
7;1;0;528;11;0;528;47.68;0;1405.92;236.23
8;1;0;528;12;0;528;48.98;0;7013.03;144.28
9;1;0;528;13;0;528;84;0;4145.27;143.33
10;1;0;528;14;0;528;66;0;7321.76;243.78
11;1;0;528;15;0;528;252;0;2787;204.25
12;1;0;528;16;0;528;15.65;0;1076.25;13.97
13;4;0;528;17;0;528;20;0;3020;82.75
