PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;101.39;0;2251.4;34.96
2;1;0;528;4;0;528;34.24;0;832.43;18.12
3;1;0;528;4;0;528;13.35;0;546.43;15.06
4;1;0;528;5;0;528;130;0;4623.3;91.76
5;1;0;528;6;0;528;142.7;0;12179.07;224.34
6;1;0;528;7;0;528;28.63;0;608.05;159.11
7;1;0;528;8;0;528;380.61;0;8996.23;26.39
8;1;0;528;9;0;528;89.26;0;5461.93;31.22
9;1;0;528;10;0;528;50.01;0;1382.78;8.17
10;1;0;528;11;0;528;4.72;0;2651.66;7.25
11;1;0;528;12;0;528;35.46;0;5719.57;17.75
12;1;0;528;13;0;528;16.2;0;2127.93;14.68
13;1;0;528;9;0;528;11.02;0;2400;29.57
14;1;0;528;14;0;528;4.22;0;866.84;8.09
15;1;0;528;13;0;528;63.92;0;3505.54;170.19
16;1;0;528;15;0;528;28.78;0;2346.57;18.42
17;1;0;528;16;0;528;64.54;0;2978.01;18.96
