PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;3.840;0;1859.99;88.12
2;1;0;528;4;0;528;79.32;0;2879.85;175.52
3;1;0;528;5;0;528;3.25;0;828.89;168.64
4;1;0;528;6;0;528;12.71;0;6417.43;133.97
5;1;0;528;7;0;528;123.59;0;5118.16;163.49
6;1;0;528;8;0;528;43.13;0;1958.27;64.85
7;1;0;528;9;0;528;444.91;0;9210.25;0.01
8;1;0;528;10;0;528;6.6;0;1269.83;82.41
9;1;0;528;11;0;528;100.8;0;1235.6;216.69
10;1;0;528;12;0;528;142.05;0;4716.05;351.57
11;1;0;528;13;0;528;148.2;0;3947.23;174.93
12;1;0;528;14;0;528;105.09;0;2529.78;87.44
13;1;0;528;15;0;528;357;0;6897.24;211.15
