PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;29.52;0;881.36;41.16
2;1;0;528;4;0;528;10.65;0;846.52;128.7
3;1;0;528;5;0;528;197.75;0;14087.28;272.14
4;1;0;528;6;0;528;3;0;4730.25;91.38
5;1;0;528;7;0;528;23.24;0;5718.65;128.82
6;1;0;528;8;0;528;16.94;0;941.76;66.42
7;1;0;528;9;0;528;347.61;0;8206.74;292.22
8;1;0;528;10;0;528;48.42;0;1644;84.51
9;1;0;528;11;0;528;390;0;4142.25;262.57
10;1;0;528;12;0;528;33.65;0;3803.35;79.5
11;1;0;528;13;0;528;35.19;0;10420.17;90.77
12;1;0;528;14;0;528;130.6;0;3583.34;133.02
13;1;0;528;15;0;528;47.45;0;8420.77;151.11
