PEDIDO;COLETA;JTCC;JTCS;ENTREGA;JTE;JTE;MASSA;VOLUME;VALOR;RECEITA
1;1;0;528;3;0;528;9;0;1576.86;104.32
2;1;0;528;4;0;528;1;0;498.46;168.64
3;1;0;528;5;0;528;8;0;7935.28;153.3
4;1;0;528;6;0;528;2.7;0;1812.95;66.63
5;1;0;528;7;0;528;221.16;0;13814.91;289.67
6;1;0;528;8;0;528;11.51;0;1791.38;251.83
7;1;0;528;9;0;528;18.63;0;1846.42;66.56
8;1;0;528;10;0;528;332.39;0;21599.31;251.68
9;1;0;528;11;0;528;5.43;0;2206.09;67.22
10;1;0;528;12;0;528;2.71;0;1565.2;66.06
11;1;0;528;13;0;528;42.75;0;7383.08;185.01
12;1;0;528;14;0;528;7.97;0;1677.43;66.25
13;1;0;528;15;0;528;81.96;0;3250.04;184.91
